trial_id,tier,primary_cause,is_single_var,attribution,confidence,reasoning,parse_status,correct,consistency_modal,agreement_rate,model,timestamp
0,T1,phi+rho+sigma_d+theta,False,phi,medium,"An inappropriate camera elevation angle (phi) is a common cause of significant occlusions, preventing the depth camera from capturing a complete 3D representation of the object. If critical graspable surfaces are not visible in the point cloud, the grasp planner cannot accurately identify stable grasp poses, leading directly to failure.",json_ok,0,phi,0.3333,gemini-2.5-flash,2026-07-21T17:47:07.840171Z
0,T2,phi+rho+sigma_d+theta,False,phi,high,"A low camera elevation angle (~30deg) significantly increases the likelihood of self-occlusion or occlusion by the supporting surface. This results in an incomplete point cloud, missing crucial geometric information necessary for the grasp planner to identify and execute a stable grasp.",json_ok,0,phi,0.6667,gemini-2.5-flash,2026-07-22T08:19:52.921489Z
100,T1,none,False,sigma_d,high,"High Gaussian depth noise (sigma_d) directly corrupts the accuracy of each 3D point, leading to a distorted or shifted perception of the object's surface. This fundamental inaccuracy causes the grasp planner to compute an incorrect grasp pose relative to the actual object, resulting in a physical failure to establish stable contact.",json_ok,0,sigma_d,0.6667,gemini-2.5-flash,2026-07-21T18:20:21.918899Z
100,T2,none,False,sigma_d,medium,"High Gaussian depth noise (`sigma_d`) directly corrupts the accuracy of the 3D point cloud. This leads to an inaccurate representation of the object's geometry and pose, causing the grasp planner to target incorrect locations or misjudge object boundaries, resulting in grasp failure. The given camera angles are generally reasonable, making data quality issues more likely.",json_ok,0,sigma_d,1.0,gemini-2.5-flash,2026-07-22T08:44:34.880732Z
101,T1,none,False,phi,medium,"An inappropriate camera elevation angle (phi) is a common cause of significant occlusions, preventing the depth camera from capturing a complete 3D representation of the object. If critical graspable surfaces are not visible in the point cloud, the grasp planner cannot accurately identify stable grasp poses, leading directly to failure.",json_ok,0,sigma_d,1.0,gemini-2.5-flash,2026-07-21T18:21:32.618688Z
101,T2,none,False,sigma_d,medium,"High Gaussian depth noise (`sigma_d`) directly corrupts the accuracy of the 3D point cloud. This leads to an inaccurate representation of the object's geometry and pose, causing the grasp planner to target incorrect locations or misjudge object boundaries, resulting in grasp failure. The given camera angles are generally reasonable, making data quality issues more likely.",json_ok,0,rho,0.3333,gemini-2.5-flash,2026-07-22T08:46:00.183846Z
105,T1,phi,True,phi,medium,"An inappropriate camera elevation angle (phi) is a common cause of significant occlusions, preventing the depth camera from capturing a complete 3D representation of the object. If critical graspable surfaces are not visible in the point cloud, the grasp planner cannot accurately identify stable grasp poses, leading directly to failure.",json_ok,1,sigma_d,0.6667,gemini-2.5-flash,2026-07-21T18:22:52.342773Z
105,T2,phi,True,phi,high,"An overhead camera elevation of ~60 degrees provides limited visibility of the object's vertical surfaces and side features. Many stable grasps require interaction with these side features, and a lack of sufficient perceptual data from this angle can lead to inaccurate object pose estimation or poor grasp point selection, resulting in failure.",json_ok,1,theta,1.0,gemini-2.5-flash,2026-07-22T08:47:00.241042Z
106,T1,phi,True,sigma_d,high,"High Gaussian depth noise (sigma_d) directly corrupts the accuracy of each 3D point, leading to a distorted or shifted perception of the object's surface. This fundamental inaccuracy causes the grasp planner to compute an incorrect grasp pose relative to the actual object, resulting in a physical failure to establish stable contact.",json_ok,0,sigma_d,1.0,gemini-2.5-flash,2026-07-21T18:23:58.638677Z
106,T2,phi,True,theta,high,"The camera's azimuth angle of 'rear ~90deg' means it is viewing the object from a single, specific side. This fixed viewpoint is highly prone to occluding critical features or optimal grasp points located on other sides of the object, leading to an incomplete or misleading point cloud for grasp planning.",json_ok,0,theta,1.0,gemini-2.5-flash,2026-07-22T08:47:47.567440Z
